3,"t","Honey: Released March 20, 2015, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2014"
3,"t","[Producers with 5 or more colonies. Colonies which produced honey in more than one State were counted in each State]"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","producing","per","Production","Stocks","price per","of"
3,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
3,"h","","","","","","",""
3,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
3,"d","Alabama",7,53,371,26,340,1261
3,"d","Arizona",26,39,1014,193,202,2048
3,"d","Arkansas",21,65,1365,137,200,2730
3,"d","California",320,39,12480,2995,203,25334
3,"d","Colorado",27,37,999,200,200,1998
3,"d","Florida",245,60,14700,1029,208,30576
3,"d","Georgia",73,62,4526,362,219,9912
3,"d","Hawaii",15,93,1395,140,228,3181
3,"d","Idaho",100,34,3400,850,203,6902
3,"d","Illinois",8,49,392,94,441,1729
3,"d","",,,,,,
3,"d","Indiana",5,62,310,115,324,1004
3,"d","Iowa",35,43,1505,933,251,3778
3,"d","Kansas",7,75,525,84,233,1223
3,"d","Kentucky",5,47,235,56,393,924
3,"d","Louisiana",48,84,4032,524,226,9112
3,"d","Maine",8,47,376,41,536,2015
3,"d","Michigan",91,63,5733,1835,250,14333
3,"d","Minnesota",132,60,7920,1426,206,16315
3,"d","Mississippi",20,112,2240,45,201,4502
3,"d","Missouri",12,47,564,96,357,2013
3,"d","",,,,,,
3,"d","Montana",162,88,14256,5132,205,29225
3,"d","Nebraska",50,75,3750,1688,210,7875
3,"d","New Jersey",12,30,360,119,298,1073
3,"d","New York",60,55,3300,1518,272,8976
3,"d","North Carolina",12,43,516,88,347,1791
3,"d","North Dakota",490,86,42140,9271,200,84280
3,"d","Ohio",15,61,915,256,352,3221
3,"d","Oregon",71,40,2840,767,219,6220
3,"d","Pennsylvania",17,46,782,203,275,2151
3,"d","South Carolina",9,54,486,19,383,1861
3,"d","",,,,,,
3,"d","South Dakota",280,87,24360,5846,209,50912
3,"d","Tennessee",7,63,441,88,323,1424
3,"d","Texas",116,78,9048,2081,223,20177
3,"d","Utah",29,28,812,130,213,1730
3,"d","Vermont",3,58,174,61,503,875
3,"d","Virginia",6,41,246,57,507,1247
3,"d","Washington",68,44,2992,1167,248,7420
3,"d","West Virginia",6,31,186,33,404,751
3,"d","Wisconsin",53,54,2862,1030,232,6640
3,"d","Wyoming",38,61,2318,255,206,4775
3,"d","",,,,,,
3,"d","Other States 5/ 6/",31,45,1404,202,358,5026
3,"d","",,,,,,
3,"d","United States 6/ 7/",2740,65.1,178270,41192,216.1,385241
3,"c",""
3,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
3,"f","2/ Stocks held by producers."
3,"f","3/ Average price per pound based on expanded sales."
3,"f","4/ Value of production is equal to production multiplied by average price per pound."
3,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
3,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
3,"f","7/ United States value of production will not equal summation of States."
