2,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2015"
2,"t","[Operations with 5 or more colonies that also qualify as a farm. Colonies which produced honey in more than one State were counted in each State]"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","producing","per","Production","Stocks","price per","of"
2,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
2,"h","","","","","","",""
2,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
2,"d","Alabama",7,47,329,13,383,1260
2,"d","Arizona",26,49,1274,306,203,2586
2,"d","Arkansas",24,72,1728,121,206,3560
2,"d","California",275,30,8250,1485,203,16748
2,"d","Colorado",29,51,1479,399,226,3343
2,"d","Florida",220,54,11880,832,197,23404
2,"d","Georgia",69,40,2760,221,243,6707
2,"d","Hawaii",14,102,1428,71,191,2727
2,"d","Idaho",89,32,2848,1082,193,5497
2,"d","Illinois",8,51,408,155,466,1901
2,"d","",,,,,,
2,"d","Indiana",6,53,318,165,323,1027
2,"d","Iowa",36,50,1800,990,220,3960
2,"d","Kansas",8,36,288,107,350,1008
2,"d","Kentucky",5,46,230,55,404,929
2,"d","Louisiana",44,99,4356,348,195,8494
2,"d","Maine",10,47,470,47,543,2552
2,"d","Michigan",90,58,5220,1984,244,12737
2,"d","Minnesota",122,68,8296,2157,184,15265
2,"d","Mississippi",15,83,1245,87,240,2988
2,"d","Missouri",10,52,520,52,355,1846
2,"d","",,,,,,
2,"d","Montana",146,83,12118,3757,194,23509
2,"d","Nebraska",57,48,2736,1450,204,5581
2,"d","New Jersey",12,27,324,207,420,1361
2,"d","New York",58,62,3596,899,294,10572
2,"d","North Carolina",12,45,540,103,451,2435
2,"d","North Dakota",490,74,36260,9428,180,65268
2,"d","Ohio",17,50,850,357,360,3060
2,"d","Oregon",71,38,2698,809,243,6556
2,"d","Pennsylvania",17,53,901,225,362,3262
2,"d","South Carolina",14,67,938,38,410,3846
2,"d","",,,,,,
2,"d","South Dakota",290,66,19140,9379,179,34261
2,"d","Tennessee",7,59,413,78,404,1669
2,"d","Texas",126,66,8316,1164,210,17464
2,"d","Utah",27,42,1134,147,192,2177
2,"d","Vermont",5,52,260,62,423,1100
2,"d","Virginia",6,38,228,50,553,1261
2,"d","Washington",73,44,3212,1221,180,5782
2,"d","West Virginia",5,35,175,32,444,777
2,"d","Wisconsin",52,67,3484,1603,243,8466
2,"d","Wyoming",38,77,2926,146,190,5559
2,"d","",,,,,,
2,"d","Other States 5/ 6/",30,39,1168,371,524,6102
2,"d","",,,,,,
2,"d","United States 6/ 7/",2660,58.9,156544,42203,208.3,326081
2,"c",""
2,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
2,"f","2/ Stocks held by producers."
2,"f","3/ Average price per pound based on expanded sales."
2,"f","4/ Value of production is equal to production multiplied by average price per pound."
2,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
2,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
2,"f","7/ United States value of production will not equal summation of States."
3,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2016"
3,"t","[Operations with 5 or more colonies that also qualify as a farm. Colonies which produced honey in more than one State were counted in each State]"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","producing","per","Production","Stocks","price per","of"
3,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
3,"h","","","","","","",""
3,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
3,"d","Alabama",7,52,364,33,337,1227
3,"d","Arizona",27,46,1242,261,199,2472
3,"d","Arkansas",24,69,1656,99,184,3047
3,"d","California",310,36,11160,2009,200,22320
3,"d","Colorado",32,40,1280,282,217,2778
3,"d","Florida",215,50,10750,538,244,26230
3,"d","Georgia",96,39,3744,899,269,10071
3,"d","Hawaii",16,113,1808,127,231,4176
3,"d","Idaho",97,34,3298,1253,172,5673
3,"d","Illinois",10,48,480,77,539,2587
3,"d","",,,,,,
3,"d","Indiana",7,62,434,208,336,1458
3,"d","Iowa",37,48,1776,746,207,3676
3,"d","Kansas",7,48,336,54,297,998
3,"d","Kentucky",5,46,230,48,402,925
3,"d","Louisiana",50,86,4300,301,193,8299
3,"d","Maine",12,34,408,65,321,1310
3,"d","Michigan",89,60,5340,1709,225,12015
3,"d","Minnesota",124,59,7316,1390,164,11998
3,"d","Mississippi",19,85,1615,113,174,2810
3,"d","Missouri",8,62,496,30,218,1081
3,"d","",,,,,,
3,"d","Montana",159,77,12243,3183,175,21425
3,"d","Nebraska",48,46,2208,640,188,4151
3,"d","New Jersey",12,27,324,198,669,2168
3,"d","New York",64,57,3648,1167,320,11674
3,"d","North Carolina",12,37,444,89,461,2047
3,"d","North Dakota",485,78,37830,6809,173,65446
3,"d","Ohio",15,79,1185,664,384,4550
3,"d","Oregon",74,35,2590,622,206,5335
3,"d","Pennsylvania",19,50,950,266,315,2993
3,"d","South Carolina",16,45,720,36,450,3240
3,"d","",,,,,,
3,"d","South Dakota",280,71,19880,12127,174,34591
3,"d","Tennessee",6,55,330,69,478,1577
3,"d","Texas",133,70,9310,2607,196,18248
3,"d","Utah",31,32,992,169,191,1895
3,"d","Vermont",6,52,312,69,282,880
3,"d","Virginia",5,38,190,30,582,1106
3,"d","Washington",84,35,2940,412,188,5527
3,"d","West Virginia",5,32,160,43,373,597
3,"d","Wisconsin",54,62,3348,1205,244,8169
3,"d","Wyoming",40,68,2720,190,176,4787
3,"d","",,,,,,
3,"d","Other States 5/ 6/",35,44,1525,416,426,6497
3,"d","",,,,,,
3,"d","United States 6/ 7/",2775,58.3,161882,41253,207.5,335905
3,"c",""
3,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
3,"f","2/ Stocks held by producers."
3,"f","3/ Average price per pound based on expanded sales."
3,"f","4/ Value of production is equal to production multiplied by average price per pound."
3,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
3,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
3,"f","7/ United States value of production will not equal summation of States."
5,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Number of Colonies, Yield, and Production – United States: 2015 and 2016"
5,"t","[Operations with less than 5 colonies that also qualify as a farm]"
5,"h","","","","","","",""
5,"h","","Honey","Honey","Yield","Yield","",""
5,"h","State","producing","producing","per","per","Production","Production"
5,"h","","colonies 1/","colonies 1/","colony","colony","",""
5,"h","","","","","","",""
5,"h","","2015","2016","2015","2016","2015","2016"
5,"h","","","","","","",""
5,"u","","(1,000)","(1,000)","(pounds)","(pounds)","(1,000 pounds)","(1,000 pounds)"
5,"d","United States 2/",23,24,31.3,31.9,720,766
5,"c",""
5,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was harvested during the year. It is possible to harvest honey from colonies which did not survive the entire year."
5,"f","2/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
1,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Honey Price by Color Class – United States: 2015 and 2016"
1,"t","[Operations with 5 or more colonies that also qualify as a farm]"
1,"h","","","","","","",""
1,"h","","Price","Price","Price","Price","Price","Price"
1,"h","","","","","","",""
1,"h","Color class","Co-op and private","Co-op and private","Retail","Retail","All","All"
1,"h","","","","","","",""
1,"h","","2015","2016","2015","2016","2015","2016"
1,"h","","","","","","",""
1,"u","","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)"
1,"d","Water white, extra white, white",188.6,185.1,305.4,490.8,190.6,192.9
1,"d","",,,,,,
1,"d","Extra light amber",202.5,187.7,411.8,377.5,213.2,195.1
1,"d","",,,,,,
1,"d","Light amber, amber, dark amber",200.4,189.4,412.1,436.4,234.7,224.8
1,"d","",,,,,,
1,"d","All other honey, area specialties",284.9,244.0,656.6,792.8,351.5,385.6
1,"d","",,,,,,
1,"d","All honey",195.0,188.1,409.9,462.0,208.3,207.5
1,"c",""
6,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
6,"t","Queen, Package, and Nuc Prices Paid – United States: 2016"
6,"t","[Operations that qualify as a farm. Represents prices paid by operations, regardless of whether honey produced. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
6,"h","","","",""
6,"h","United States","Queen","Package","Nuc"
6,"h","","","",""
6,"u","","(dollars per)","(dollars per)","(dollars per)"
6,"d","Operations with",,,
6,"d","  5 or more colonies",19,89,117
6,"d","  Less than 5 colonies",33,109,122
6,"c",""
8,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
8,"t","Pollination and Other Income – United States: 2015 and 2016"
8,"t","[Operations that qualify as a farm. Represents incomes from the total number of colonies, regardless of whether honey was harvested. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
8,"h","","","","",""
8,"h","United States","Pollination income","Pollination income","Other income 1/","Other income 1/"
8,"h","","","","",""
8,"h","","2015","2016","2015","2016"
8,"h","","","","",""
8,"u","","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
8,"d","Operations with",,,,
8,"d","  5 or more colonies",340275,337834,165732,148523
8,"d","  Less than 5 colonies",70,180,103,62
8,"c",""
8,"f","1/ Includes sales of queens, queen cells, beeswax, propolis, etc."
17,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
17,"t","Expenditures for Honey Bee Operations – United States: 2015 and 2016"
