2,"t","Honey: Released March 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2014"
2,"t","[Producers with 5 or more colonies that also qualify as a farm. Colonies which produced honey in more than one State were counted in each State]"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","producing","per","Production","Stocks","price per","of"
2,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
2,"h","","","","","","",""
2,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
2,"d","Alabama",7,53,371,26,353,1310
2,"d","Arizona",26,39,1014,193,192,1947
2,"d","Arkansas",21,65,1365,137,204,2785
2,"d","California",320,39,12480,2995,206,25709
2,"d","Colorado",27,37,999,200,211,2108
2,"d","Florida",245,60,14700,1029,208,30576
2,"d","Georgia",73,62,4526,362,219,9912
2,"d","Hawaii",15,93,1395,140,229,3195
2,"d","Idaho",100,34,3400,850,203,6902
2,"d","Illinois",8,49,392,94,411,1611
2,"d","",,,,,,
2,"d","Indiana",5,62,310,115,319,989
2,"d","Iowa",35,43,1505,933,241,3627
2,"d","Kansas",7,75,525,84,238,1250
2,"d","Kentucky",5,47,235,56,396,931
2,"d","Louisiana",48,84,4032,524,218,8790
2,"d","Maine",8,47,376,41,499,1876
2,"d","Michigan",91,63,5733,1835,249,14275
2,"d","Minnesota",132,60,7920,1426,206,16315
2,"d","Mississippi",20,112,2240,45,201,4502
2,"d","Missouri",12,47,564,96,363,2047
2,"d","",,,,,,
2,"d","Montana",162,88,14256,5132,209,29795
2,"d","Nebraska",50,75,3750,1688,204,7650
2,"d","New Jersey",12,30,360,119,313,1127
2,"d","New York",60,55,3300,1518,283,9339
2,"d","North Carolina",12,43,516,88,349,1801
2,"d","North Dakota",490,86,42140,9271,199,83859
2,"d","Ohio",15,61,915,256,358,3276
2,"d","Oregon",71,40,2840,767,220,6248
2,"d","Pennsylvania",17,46,782,203,291,2276
2,"d","South Carolina",9,54,486,19,397,1929
2,"d","",,,,,,
2,"d","South Dakota",280,87,24360,5846,208,50669
2,"d","Tennessee",7,63,441,88,376,1658
2,"d","Texas",116,78,9048,2081,224,20268
2,"d","Utah",29,28,812,130,213,1730
2,"d","Vermont",3,58,174,61,489,851
2,"d","Virginia",6,41,246,57,468,1151
2,"d","Washington",68,44,2992,1167,261,7809
2,"d","West Virginia",6,31,186,33,407,757
2,"d","Wisconsin",53,54,2862,1030,238,6812
2,"d","Wyoming",38,61,2318,255,208,4821
2,"d","",,,,,,
2,"d","Other States 5/ 6/",31,45,1404,202,367,5153
2,"d","",,,,,,
2,"d","United States 6/ 7/",2740,65.1,178270,41192,217.3,387381
2,"c",""
2,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
2,"f","2/ Stocks held by producers."
2,"f","3/ Average price per pound based on expanded sales."
2,"f","4/ Value of production is equal to production multiplied by average price per pound."
2,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
2,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
2,"f","7/ United States value of production will not equal summation of States."
3,"t","Honey: Released March 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2015"
3,"t","[Producers with 5 or more colonies that also qualify as a farm. Colonies which produced honey in more than one State were counted in each State]"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","producing","per","Production","Stocks","price per","of"
3,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
3,"h","","","","","","",""
3,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
3,"d","Alabama",7,47,329,13,383,1260
3,"d","Arizona",26,49,1274,306,217,2765
3,"d","Arkansas",24,72,1728,121,202,3491
3,"d","California",275,30,8250,1485,204,16830
3,"d","Colorado",29,51,1479,399,218,3224
3,"d","Florida",220,54,11880,832,197,23404
3,"d","Georgia",69,40,2760,221,242,6679
3,"d","Hawaii",14,102,1428,71,195,2785
3,"d","Idaho",89,32,2848,1082,192,5468
3,"d","Illinois",8,51,408,155,432,1763
3,"d","",,,,,,
3,"d","Indiana",6,53,318,165,338,1075
3,"d","Iowa",36,50,1800,990,233,4194
3,"d","Kansas",8,36,288,107,352,1014
3,"d","Kentucky",5,46,230,55,386,888
3,"d","Louisiana",44,99,4356,348,193,8407
3,"d","Maine",10,47,470,47,551,2590
3,"d","Michigan",90,58,5220,1984,243,12685
3,"d","Minnesota",122,68,8296,2157,183,15182
3,"d","Mississippi",15,83,1245,87,264,3287
3,"d","Missouri",10,52,520,52,350,1820
3,"d","",,,,,,
3,"d","Montana",146,83,12118,3757,194,23509
3,"d","Nebraska",57,48,2736,1450,202,5527
3,"d","New Jersey",12,27,324,207,420,1361
3,"d","New York",58,62,3596,899,294,10572
3,"d","North Carolina",12,45,540,103,452,2441
3,"d","North Dakota",490,74,36260,9428,180,65268
3,"d","Ohio",17,50,850,357,408,3468
3,"d","Oregon",71,38,2698,809,252,6799
3,"d","Pennsylvania",17,53,901,225,363,3271
3,"d","South Carolina",14,67,938,38,409,3836
3,"d","",,,,,,
3,"d","South Dakota",290,66,19140,9379,179,34261
3,"d","Tennessee",7,59,413,78,407,1681
3,"d","Texas",126,66,8316,1164,209,17380
3,"d","Utah",27,42,1134,147,193,2189
3,"d","Vermont",5,52,260,62,423,1100
3,"d","Virginia",6,38,228,50,567,1293
3,"d","Washington",73,44,3212,1221,164,5268
3,"d","West Virginia",5,35,175,32,444,777
3,"d","Wisconsin",52,67,3484,1603,241,8396
3,"d","Wyoming",38,77,2926,146,190,5559
3,"d","",,,,,,
3,"d","Other States 5/ 6/",30,39,1168,371,503,5875
3,"d","",,,,,,
3,"d","United States 6/ 7/",2660,58.9,156544,42203,209.0,327177
3,"c",""
3,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
3,"f","2/ Stocks held by producers."
3,"f","3/ Average price per pound based on expanded sales."
3,"f","4/ Value of production is equal to production multiplied by average price per pound."
3,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, and Rhode Island not published separately to avoid disclosing data for individual operations."
3,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
3,"f","7/ United States value of production will not equal summation of States."
5,"t","Honey: Released March 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
5,"t","Number of Colonies, Yield, and Production – United States: 2015"
5,"t","[Producers with less than 5 colonies that also qualify as a farm]"
5,"h","","","",""
5,"h","","Honey","Yield",""
5,"h","State","producing","per","Production"
5,"h","","colonies 1/","colony",""
5,"h","","","",""
5,"u","","(1,000)","(pounds)","(1,000 pounds)"
5,"d","United States 2/",23,31.3,720
5,"c",""
5,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
5,"f","2/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
1,"t","Honey: Released March 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Honey Price by Color Class – United States: 2014 and 2015"
1,"t","[Producers with 5 or more colonies that also qualify as a farm]"
1,"h","","","","","","",""
1,"h","","Price","Price","Price","Price","Price","Price"
1,"h","","","","","","",""
1,"h","Color class","Co-op and private","Co-op and private","Retail","Retail","All","All"
1,"h","","","","","","",""
1,"h","","2014","2015","2014","2015","2014","2015"
1,"h","","","","","","",""
1,"u","","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)"
1,"d","Water white, extra white, white",204.6,189.0,328.5,354.2,206.2,191.0
1,"d","",,,,,,
1,"d","Extra light amber",209.6,204.0,392.2,411.8,218.3,215.4
1,"d","",,,,,,
1,"d","Light amber, amber, dark amber",208.8,198.8,417.1,398.4,234.2,230.5
1,"d","",,,,,,
1,"d","All other honey, area specialties",255.4,238.3,535.2,647.0,317.2,330.3
1,"d","",,,,,,
1,"d","All honey",207.1,195.5,405.4,409.6,217.3,209.0
1,"c",""
4,"t","Honey: Released March 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
4,"t","Reliability of Honey Estimates"
4,"t","[Based on data for the past 10 years]"
4,"h","","","","","","","",""
4,"h","","Root mean","90 percent","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate"
4,"h","","square error","confidence","","","","",""
4,"h","","","level","","","","",""
4,"h","Item","","","","","","Years","Years"
4,"h","","","","","","","",""
4,"h","","","","Average","Smallest","Largest","Below latest","Above latest"
4,"h","","","","","","","",""
4,"u","","(percent)","(percent)","(1,000)","(1,000)","(1,000)","(number)","(number)"
4,"d","Honey producing colonies",1.3,2.4,18,-,85,5,2
4,"d","",,,,,,,
4,"d","Honey production",1.3,2.4,1086,-,4796,4,3
4,"c",""
4,"f","-  Represents zero."
