1,"t","Honey: Released March 18, 2013, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
1,"t","Honey Price by Color Class – United States: 2011 and 2012"
1,"h","","","","","","",""
1,"h","","Price","Price","Price","Price","Price","Price"
1,"h","","","","","","",""
1,"h","Color class","Co-op and private","Co-op and private","Retail","Retail","All","All"
1,"h","","","","","","",""
1,"h","","2011","2012","2011","2012","2011","2012"
1,"h","","","","","","",""
1,"u","","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)","(cents per pound)"
1,"d","Water white, extra white, white",170.1,189.9,274.1,296.9,172.9,191.4
1,"d","",,,,,,
1,"d","Extra light amber",164.4,189.6,307.1,293.5,171.1,194.3
1,"d","",,,,,,
1,"d","Light amber, amber, dark amber",165.7,179.4,315.4,350.1,183.4,200.2
1,"d","",,,,,,
1,"d","All other honey, area specialties",182.6,210.2,461.0,522.7,225.2,286.5
1,"d","",,,,,,
1,"d","All honey",167.7,187.8,314.7,340.5,176.5,195.1
1,"c",""
2,"t","Honey: Released March 18, 2013, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2011"
2,"t","[Producers with 5 or more colonies. Colonies which produced honey in more than one State were counted in each State]"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","producing","per","Production","Stocks","price per","of"
2,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
2,"h","","","","","","",""
2,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
2,"d","Alabama",9,50,450,63,251,1130
2,"d","Arizona",23,53,1219,427,155,1889
2,"d","Arkansas",22,64,1408,239,162,2281
2,"d","California",370,48,17760,3730,165,29304
2,"d","Colorado",31,55,1705,443,200,3410
2,"d","Florida",180,61,10980,988,168,18446
2,"d","Georgia",65,43,2795,196,165,4612
2,"d","Hawaii",9,74,666,246,365,2431
2,"d","Idaho",87,36,3132,1879,178,5575
2,"d","Illinois",7,50,350,98,390,1365
2,"d","",,,,,,
2,"d","Indiana",8,51,408,147,214,873
2,"d","Iowa",25,62,1550,961,196,3038
2,"d","Kansas",7,44,308,117,215,662
2,"d","Kentucky",4,39,156,12,317,495
2,"d","Louisiana",36,77,2772,471,167,4629
2,"d","Maine",4,30,120,17,198,238
2,"d","Michigan",74,64,4736,2084,181,8572
2,"d","Minnesota",120,53,6360,2099,163,10367
2,"d","Mississippi",18,115,2070,104,153,3167
2,"d","Missouri",8,43,344,76,214,736
2,"d","",,,,,,
2,"d","Montana",145,92,13340,3202,170,22678
2,"d","Nebraska",41,59,2419,653,175,4233
2,"d","New Jersey",11,41,451,135,370,1669
2,"d","New Mexico",7,56,392,153,169,662
2,"d","New York",49,56,2744,1235,196,5378
2,"d","North Carolina",14,62,868,95,283,2456
2,"d","North Dakota",460,71,32660,7512,167,54542
2,"d","Ohio",15,66,990,228,234,2317
2,"d","Oregon",60,34,2040,755,168,3427
2,"d","Pennsylvania",24,44,1056,306,255,2693
2,"d","",,,,,,
2,"d","South Dakota",250,66,16500,4290,170,28050
2,"d","Tennessee",7,44,308,68,293,902
2,"d","Texas",78,58,4524,633,178,8053
2,"d","Utah",23,39,897,170,175,1570
2,"d","Vermont",4,43,172,43,231,397
2,"d","Virginia",4,40,160,21,407,651
2,"d","Washington",71,38,2698,836,193,5207
2,"d","West Virginia",4,53,212,45,257,545
2,"d","Wisconsin",57,63,3591,1508,189,6787
2,"d","Wyoming",35,54,1890,265,172,3251
2,"d","",,,,,,
2,"d","Other States 5/ 6/",25,46,1156,211,299,3456
2,"d","",,,,,,
2,"d","United States 6/ 7/",2491,59.6,148357,36761,176.5,261850
2,"c",""
2,"f","1/  Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
2,"f","2/  Stocks held by producers."
2,"f","3/  Average price per pound based on expanded sales."
2,"f","4/  Value of production is equal to production multiplied by average price per pound."
2,"f","5/  Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, Oklahoma, Rhode Island, and South Carolina not published separately to avoid disclosing data for individual operations."
2,"f","6/  Due to rounding, total colonies multiplied by total yield may not exactly equal production."
2,"f","7/  United States value of production will not equal summation of States."
3,"t","Honey: Released March 18, 2013, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2012"
3,"t","[Producers with 5 or more colonies. Colonies which produced honey in more than one State were counted in each State]"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","producing","per","Production","Stocks","price per","of"
3,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
3,"h","","","","","","",""
3,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
3,"d","Alabama",8,54,432,65,243,1050
3,"d","Arizona",22,46,1012,253,170,1720
3,"d","Arkansas",26,63,1638,197,184,3014
3,"d","California",340,35,11900,3213,193,22967
3,"d","Colorado",26,48,1248,487,212,2646
3,"d","Florida",199,64,12736,1274,181,23052
3,"d","Georgia",62,51,3162,190,189,5976
3,"d","Hawaii",10,75,750,263,319,2393
3,"d","Idaho",96,32,3072,553,161,4946
3,"d","Illinois",7,61,427,145,340,1452
3,"d","",,,,,,
3,"d","Indiana",9,59,531,228,244,1296
3,"d","Iowa",38,61,2318,1229,211,4891
3,"d","Kansas",7,55,385,146,235,905
3,"d","Kentucky",5,51,255,41,318,811
3,"d","Louisiana",41,86,3526,141,177,6241
3,"d","Maine",4,34,136,24,225,306
3,"d","Michigan",76,57,4332,1386,203,8794
3,"d","Minnesota",130,67,8710,1655,188,16375
3,"d","Mississippi",19,118,2242,67,163,3654
3,"d","Missouri",7,53,371,108,256,950
3,"d","",,,,,,
3,"d","Montana",149,52,7748,2479,191,14799
3,"d","Nebraska",44,65,2860,1173,191,5463
3,"d","New Jersey",14,33,462,51,188,869
3,"d","New Mexico",5,52,260,99,313,814
3,"d","New York",52,51,2652,1008,228,6047
3,"d","North Carolina",13,39,507,106,369,1871
3,"d","North Dakota",495,69,34155,6148,189,64553
3,"d","Ohio",19,60,1140,433,242,2759
3,"d","Oregon",62,32,1984,873,211,4186
3,"d","Pennsylvania",17,60,1020,286,262,2672
3,"d","",,,,,,
3,"d","South Dakota",270,63,17010,3742,194,32999
3,"d","Tennessee",7,61,427,68,285,1217
3,"d","Texas",95,52,4940,741,200,9880
3,"d","Utah",26,38,988,217,185,1828
3,"d","Vermont",4,60,240,53,234,562
3,"d","Virginia",4,41,164,23,385,631
3,"d","Washington",64,41,2624,1050,235,6166
3,"d","West Virginia",7,48,336,111,280,941
3,"d","Wisconsin",63,69,4347,1956,204,8868
3,"d","Wyoming",51,51,2601,468,182,4734
3,"d","",,,,,,
3,"d","Other States 5/ 6/",31,47,1444,172,304,4390
3,"d","",,,,,,
3,"d","United States 6/ 7/",2624,56.1,147092,32922,195.1,286976
3,"c",""
3,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
3,"f","2/ Stocks held by producers."
3,"f","3/ Average price per pound based on expanded sales."
3,"f","4/ Value of production is equal to production multiplied by average price per pound."
3,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, Oklahoma, Rhode Island, and South Carolina not published separately to avoid disclosing data for individual operations."
3,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
3,"f","7/ United States value of production will not equal summation of States."
4,"t","Honey: Released March 18, 2013, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
4,"t","Reliability of Honey Estimates"
4,"t","[Based on data for the past 10 years]"
4,"h","","","","","","","",""
4,"h","","Root mean","90 percent","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate","Difference between first and latest estimate"
4,"h","","square error","confidence","","","","",""
4,"h","","","level","","","","",""
4,"h","Item","","","","","","Years","Years"
4,"h","","","","","","","",""
4,"h","","","","Average","Smallest","Largest","Below latest","Above latest"
4,"h","","","","","","","",""
4,"u","","(percent)","(percent)","(1,000)","(1,000)","(1,000)","(number)","(number)"
4,"d","Honey producing colonies",1.0,1.8,16,-,50,7,2
4,"d","",,,,,,,
4,"d","Honey production",0.8,1.4,771,-,2928,6,3
4,"c",""
4,"f","-  Represents zero."
