1,"t","Honey: Released February 27, 2004, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
1,"t","Honey:  Price by Color Class, United States, 2002-03"
1,"h","","","","","","",""
1,"h","","Price","Price","Price","Price","Price","Price"
1,"h","","","","","","",""
1,"h","Color Class","Co-op and Private","Co-op and Private","Retail","Retail","All","All"
1,"h","","","","","","",""
1,"h","","2002","2003","2002","2003","2002","2003"
1,"h","","","","","","",""
1,"u","","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound"
1,"d","Water White,",,,,,,
1,"d"," Extra White, White",139.6,143.8,153.8,187.0,140.2,146.0
1,"d","",,,,,,
1,"d","Extra Light Amber",127.2,135.1,142.0,177.1,128.3,138.1
1,"d","",,,,,,
1,"d","Light Amber,",,,,,,
1,"d"," Amber, Dark Amber",119.0,128.6,154.3,185.4,122.8,133.9
1,"d","",,,,,,
1,"d","All Other Honey,",,,,,,
1,"d"," Area Specialties",109.8,116.3,194.9,251.3,121.9,130.3
1,"d","",,,,,,
1,"d","All Honey",131.3,137.1,152.2,184.9,132.7,140.4
1,"c",""
2,"t","Honey: Released February 27, 2004, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
2,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
2,"t","and Value by State and United States, 2002 1/"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","Producing","per","Production","Stocks","Price per","of"
2,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
2,"h","","","","","","",""
2,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
2,"d","AL",12,86,1032,103,118,1218
2,"d","AZ",38,63,2394,1197,108,2586
2,"d","AR",45,88,3960,871,126,4990
2,"d","CA",470,50,23500,3525,132,31020
2,"d","CO",24,60,1440,576,129,1858
2,"d","FL",220,93,20460,2026,114,23324
2,"d","GA",50,52,2600,52,113,2938
2,"d","HI",7,136,952,29,111,1057
2,"d","ID",100,57,5700,1653,137,7809
2,"d","IL",9,80,720,130,147,1058
2,"d","IN",8,62,496,233,119,590
2,"d","IA",33,70,2310,901,143,3303
2,"d","KS",17,52,884,407,150,1326
2,"d","KY",5,54,270,78,163,440
2,"d","LA",35,124,4340,347,116,5034
2,"d","ME",11,41,451,266,121,546
2,"d","MD",3,46,138,21,196,270
2,"d","MI",72,77,5544,1885,140,7762
2,"d","MN",117,73,8541,1110,147,12555
2,"d","MS",18,78,1404,281,123,1727
2,"d","MO",18,50,900,189,142,1278
2,"d","MT",134,63,8442,1097,138,11650
2,"d","NE",43,75,3225,1161,149,4805
2,"d","NV",9,62,558,61,267,1490
2,"d","NJ",11,40,440,92,100,440
2,"d","NM",11,44,484,252,110,532
2,"d","NY",60,98,5880,2470,125,7350
2,"d","NC",16,42,672,74,141,948
2,"d","ND",320,75,24000,8160,146,35040
2,"d","OH",18,70,1260,504,144,1814
2,"d","OK",3,53,159,51,163,259
2,"d","OR",43,49,2107,885,135,2844
2,"d","PA",29,57,1653,827,134,2215
2,"d","SC",5,94,470,14,125,588
2,"d","SD",225,51,11475,2410,142,16295
2,"d","TN",8,61,488,137,140,683
2,"d","TX",114,67,7638,985,114,8707
2,"d","UT",22,59,1298,208,130,1687
2,"d","VT",7,89,623,274,120,748
2,"d","VA",8,38,304,79,190,578
2,"d","WA",50,51,2550,561,127,3239
2,"d","WV",9,51,459,151,132,606
2,"d","WI",70,95,6650,2461,134,8911
2,"d","WY",38,63,2394,383,133,3184
2,"d","",,,,,,
2,"d","Oth",,,,,,
2,"d"," Sts 4/ 5/",9,50,453,216,229,1036
2,"d","",,,,,,
2,"d","US 5/",2574,66.7,171718,39393,132.7,228338
2,"c",""
2,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State.  2/  Stocks held by producers.   3/  Prices weighted by sales.  4/  CT, DE, MA, NH, and RI not published separately to avoid disclosing data for individual operations.  5/  Total colonies multiplied by total yield may not exactly equal production.  6/  U.S. value of production is U.S. production multiplied by U.S. price per pound."
3,"t","Honey: Released February 27, 2004, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
3,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
3,"t","and Value by State and United States, 2003 1/"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","Producing","per","Production","Stocks","Price per","of"
3,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
3,"h","","","","","","",""
3,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
3,"d","AL",13,82,1066,43,126,1343
3,"d","AZ",40,72,2880,1123,138,3974
3,"d","AR",40,75,3000,810,127,3810
3,"d","CA",480,67,32160,6432,142,45667
3,"d","CO",24,86,2064,722,138,2848
3,"d","FL",210,71,14910,1491,135,20129
3,"d","GA",52,65,3380,270,128,4326
3,"d","HI",7,113,791,43,143,1131
3,"d","ID",100,46,4600,1380,135,6210
3,"d","IL",7,60,420,252,173,727
3,"d","IN",5,56,280,78,159,445
3,"d","IA",32,59,1888,868,145,2738
3,"d","KS",16,57,912,447,158,1441
3,"d","KY",5,48,240,14,164,394
3,"d","LA",34,90,3060,275,124,3794
3,"d","ME",8,33,264,145,140,370
3,"d","MD",2,42,84,21,191,160
3,"d","MI",65,74,4810,1732,147,7071
3,"d","MN",120,83,9960,1892,146,14542
3,"d","MS",21,69,1449,246,128,1855
3,"d","MO",17,53,901,189,141,1270
3,"d","MT",145,66,9570,1914,148,14164
3,"d","NE",45,74,3330,1299,143,4762
3,"d","NV",6,64,384,46,241,925
3,"d","NJ",10,19,190,101,157,298
3,"d","NM",6,41,246,108,116,285
3,"d","NY",67,72,4824,1640,140,6754
3,"d","NC",10,44,440,79,190,836
3,"d","ND",340,87,29580,6803,136,40229
3,"d","OH",15,50,750,278,143,1073
3,"d","OK",3,47,141,69,183,258
3,"d","OR",42,51,2142,964,126,2699
3,"d","PA",27,50,1350,419,132,1782
3,"d","SC",6,70,420,13,195,819
3,"d","SD",200,70,14000,2520,146,20440
3,"d","TN",7,40,280,53,153,428
3,"d","TX",140,67,9380,1126,142,13320
3,"d","UT",23,57,1311,144,130,1704
3,"d","VT",7,83,581,163,192,1116
3,"d","VA",6,37,222,69,169,375
3,"d","WA",58,56,3248,942,152,4937
3,"d","WV",8,47,376,194,201,756
3,"d","WI",74,77,5698,2678,144,8205
3,"d","WY",39,81,3159,474,140,4423
3,"d","",,,,,,
3,"d","Oth",,,,,,
3,"d"," Sts 4/ 5/",8,44,355,166,270,958
3,"d","",,,,,,
3,"d","US 5/",2590,69.9,181096,40735,140.4,255791
3,"c",""
3,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State.  2/  Stocks held by producers.   3/  Prices weighted by sales.  4/  CT, DE, MA, NH, and RI not published separately to avoid disclosing data for individual operations.  5/  Total colonies multiplied by total yield may not exactly equal production.  6/  U.S. value of production is U.S. production multiplied by U.S. price per pound."
