1,"t","Honey: Released February 28, 2005, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
1,"t","Honey:  Price by Color Class, United States, 2003-04"
1,"h","","","","","","",""
1,"h","","Price","Price","Price","Price","Price","Price"
1,"h","","","","","","",""
1,"h","Color Class","Co-op and Private","Co-op and Private","Retail","Retail","All","All"
1,"h","","","","","","",""
1,"h","","2003","2004","2003","2004","2003","2004"
1,"h","","","","","","",""
1,"u","","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound","Cents per Pound"
1,"d","Water White,",,,,,,
1,"d"," Extra White, White",141.1,109.5,185.8,172.8,143.5,121.1
1,"d","",,,,,,
1,"d","Extra Light Amber",132.6,98.5,180.8,174.9,136.5,104.3
1,"d","",,,,,,
1,"d","Light Amber,",,,,,,
1,"d"," Amber, Dark Amber",124.9,84.6,192.6,190.5,131.8,100.6
1,"d","",,,,,,
1,"d","All Other Honey,",,,,,,
1,"d"," Area Specialties",111.2,109.4,246.6,279.5,133.5,164.7
1,"d","",,,,,,
1,"d","All Honey",134.7,101.5,188.5,188.7,138.7,108.5
1,"c",""
2,"t","Honey: Released February 28, 2005, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
2,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
2,"t","and Value by State and United States, 2003 1/"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","Producing","per","Production","Stocks","Price per","of"
2,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
2,"h","","","","","","",""
2,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
2,"d","AL",13,82,1066,43,124,1322
2,"d","AZ",35,72,2520,983,134,3377
2,"d","AR",40,75,3000,810,126,3780
2,"d","CA",480,67,32160,6432,139,44702
2,"d","CO",24,86,2064,722,140,2890
2,"d","FL",210,71,14910,1491,132,19681
2,"d","GA",52,65,3380,270,128,4326
2,"d","HI",7,114,798,43,145,1157
2,"d","ID",100,46,4600,1380,133,6118
2,"d","IL",7,60,420,252,183,769
2,"d","IN",5,56,280,78,166,465
2,"d","IA",32,59,1888,868,142,2681
2,"d","KS",16,57,912,447,141,1286
2,"d","KY",5,48,240,14,167,401
2,"d","LA",34,90,3060,275,124,3794
2,"d","ME",8,33,264,145,141,372
2,"d","MD",2,42,84,21,193,162
2,"d","MI",65,74,4810,1732,141,6782
2,"d","MN",120,83,9960,1892,144,14342
2,"d","MS",21,69,1449,246,129,1869
2,"d","MO",17,53,901,189,141,1270
2,"d","MT",145,66,9570,1914,144,13781
2,"d","NE",45,74,3330,1299,138,4595
2,"d","NV",6,64,384,46,204,783
2,"d","NJ",10,19,190,101,160,304
2,"d","NM",6,41,246,108,120,295
2,"d","NY",67,72,4824,1640,136,6561
2,"d","NC",10,44,440,79,192,845
2,"d","ND",340,87,29580,6803,136,40229
2,"d","OH",15,50,750,278,140,1050
2,"d","OK",3,47,141,69,184,259
2,"d","OR",42,51,2142,964,127,2720
2,"d","PA",27,50,1350,419,144,1944
2,"d","SC",4,70,280,8,189,529
2,"d","SD",215,70,15050,2709,143,21522
2,"d","TN",6,40,240,46,152,365
2,"d","TX",140,67,9380,1126,140,13132
2,"d","UT",25,57,1425,157,128,1824
2,"d","VT",7,83,581,163,196,1139
2,"d","VA",6,37,222,69,168,373
2,"d","WA",58,56,3248,942,146,4742
2,"d","WV",8,47,376,194,189,711
2,"d","WI",74,77,5698,2678,147,8376
2,"d","WY",39,81,3159,474,141,4454
2,"d","",,,,,,
2,"d","Oth",,,,,,
2,"d"," Sts 4/ 5/",8,44,355,166,289,1027
2,"d","",,,,,,
2,"d","US 5/ 6/",2599,70,181727,40785,138.7,253106
2,"c",""
2,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State."
2,"f","2/  Stocks held by producers."
2,"f","3/  Prices weighted by sales."
2,"f","4/  CT, DE, MA, NH, and RI not published separately to avoid disclosing data for individual operations."
2,"f","5/  Total colonies multiplied by total yield may not exactly equal production."
2,"f","6/  U.S. value of production is U.S. production multiplied by U.S. price per pound."
3,"t","Honey: Released February 28, 2005, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
3,"t","Honey:  Number of Colonies, Yield, Production, Stocks, Price,"
3,"t","and Value by State and United States, 2004 1/"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","Producing","per","Production","Stocks","Price per","of"
3,"h","","Colonies","Colony","","Dec 15 2/","Pound 3/","Production"
3,"h","","","","","","",""
3,"u","","1,000","Pounds","1,000 Pounds","1,000 Pounds","Cents","1,000 Dollars"
3,"d","AL",12,87,1044,282,140,1462
3,"d","AZ",32,55,1760,774,115,2024
3,"d","AR",40,57,2280,388,90,2052
3,"d","CA",390,45,17550,5792,101,17726
3,"d","CO",23,80,1840,791,148,2723
3,"d","FL",205,98,20090,2009,100,20090
3,"d","GA",63,49,3087,648,118,3643
3,"d","HI",8,96,768,77,141,1083
3,"d","ID",100,63,6300,2520,101,6363
3,"d","IL",7,55,385,193,193,743
3,"d","IN",7,59,413,145,158,653
3,"d","IA",35,67,2345,1337,128,3002
3,"d","KS",14,80,1120,683,123,1378
3,"d","LA",35,98,3430,240,79,2710
3,"d","ME",7,31,217,37,127,276
3,"d","MI",65,67,4355,2439,117,5095
3,"d","MN",135,75,10125,1924,104,10530
3,"d","MS",18,65,1170,421,80,936
3,"d","MO",16,41,656,151,137,899
3,"d","MT",140,77,10780,3773,106,11427
3,"d","NE",51,89,4539,2043,107,4857
3,"d","NV",14,55,770,316,330,2541
3,"d","NJ",12,27,324,45,138,447
3,"d","NM",8,44,352,127,122,429
3,"d","NY",64,67,4288,1887,133,5703
3,"d","NC",9,40,360,72,218,785
3,"d","ND",390,78,30420,9126,105,31941
3,"d","OH",16,58,928,353,150,1392
3,"d","OR",42,54,2268,1111,124,2812
3,"d","PA",30,54,1620,810,138,2236
3,"d","SD",215,105,22575,13545,106,23930
3,"d","TN",6,54,324,91,172,557
3,"d","TX",116,76,8816,1411,96,8463
3,"d","UT",23,70,1610,531,104,1674
3,"d","VT",6,68,408,192,145,592
3,"d","VA",7,38,266,69,213,567
3,"d","WA",56,63,3528,1376,103,3634
3,"d","WV",9,55,495,183,142,703
3,"d","WI",68,86,5848,2632,133,7778
3,"d","WY",39,75,2925,380,109,3188
3,"d","",,,,,,
3,"d","Oth",,,,,,
3,"d"," Sts 4/ 5/",23,52,1203,298,228,2746
3,"d","",,,,,,
3,"d","US 5/ 6/",2556,71.8,183582,61222,108.5,201790
3,"c",""
3,"f","1/  For producers with 5 or more colonies.  Colonies which produced honey in more than one State were counted in each State."
3,"f","2/  Stocks held by producers."
3,"f","3/  Prices weighted by sales."
3,"f","4/  CT, DE, KY, MD, MA, NH, OK, RI, and SC not published separately to avoid disclosing data for individual operations."
3,"f","5/  Total colonies multiplied by total yield may not exactly equal production."
3,"f","6/  U.S. value of production is U.S. production multiplied by U.S. price per pound."
