19,"t","Honey: Released March 14, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
19,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2016"
19,"t","[Operations with 5 or more colonies that also qualify as a farm. Colonies which produced honey in more than one State were counted in each State]"
19,"h","","","","","","",""
19,"h","","Honey","Yield","","","Average","Value"
19,"h","State","producing","per","Production","Stocks","price per","of"
19,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
19,"h","","","","","","",""
19,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
19,"d","Alabama",7,52,364,33,345,1256
19,"d","Arizona",27,46,1242,261,197,2447
19,"d","Arkansas",24,69,1656,99,185,3064
19,"d","California",310,36,11160,2009,204,22766
19,"d","Colorado",32,40,1280,282,224,2867
19,"d","Florida",215,50,10750,538,243,26123
19,"d","Georgia",96,39,3744,899,269,10071
19,"d","Hawaii",16,113,1808,127,231,4176
19,"d","Idaho",97,34,3298,1253,182,6002
19,"d","Illinois",10,48,480,77,542,2602
19,"d","",,,,,,
19,"d","Indiana",7,62,434,208,346,1502
19,"d","Iowa",37,48,1776,746,208,3694
19,"d","Kansas",7,48,336,54,304,1021
19,"d","Kentucky",5,46,230,48,402,925
19,"d","Louisiana",50,86,4300,301,194,8342
19,"d","Maine",12,34,408,65,338,1379
19,"d","Michigan",89,60,5340,1709,237,12656
19,"d","Minnesota",124,59,7316,1390,169,12364
19,"d","Mississippi",19,85,1615,113,173,2794
19,"d","Missouri",8,62,496,30,231,1146
19,"d","",,,,,,
19,"d","Montana",159,77,12243,3183,177,21670
19,"d","Nebraska",48,46,2208,640,191,4217
19,"d","New Jersey",12,27,324,198,709,2297
19,"d","New York",64,57,3648,1167,319,11637
19,"d","North Carolina",12,37,444,89,478,2122
19,"d","North Dakota",485,78,37830,6809,185,69986
19,"d","Ohio",15,79,1185,664,393,4657
19,"d","Oregon",74,35,2590,622,191,4947
19,"d","Pennsylvania",19,50,950,266,303,2879
