17,"t","Honey: Released March 22, 2017, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
17,"t","Expenditures for Honey Bee Operations – United States: 2015 and 2016"
17,"t","[Operations that qualify as a farm. Represents expenditures on the total number of colonies, regardless of whether honey was harvested. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
17,"h","","","","",""
17,"h","","5 or more colonies","5 or more colonies","Less than 5 colonies","Less than 5 colonies"
17,"h","Expenditures","","","",""
17,"h","","2015","2016","2015","2016"
17,"h","","","","",""
17,"u","","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
17,"d","Varroa control and treatment",16128,16042,264,262
17,"d","Other colony issues 1/",6371,6647,100,82
17,"d","Feed 2/",50283,50307,559,482
17,"d","Foundation",9461,7294,400,320
17,"d","Hives/woodenware",11156,9014,719,706
17,"c",""
17,"f","1/ Includes Nosema, tracheal mites, foulbrood, paralysis, Kashmir, cloudy wing, etc."
17,"f","2/ Includes syrup, sugar water, honey, pollen patties, and other feeds."
