2,t,"Honey: Released March 22, 2016, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA).",,,,,,
2,t,"Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2014",,,,,,
2,t,[Producers with 5 or more colonies that also qualify as a farm. Colonies which produced honey in more than one State were counted in each State],,,,,,
2,h,,,,,,,
2,h,,Honey,Yield,,,Average,Value
2,h,State,producing,per,Production,Stocks,price per,of
2,h,,colonies 1/,colony,,December 15 2/,pound 3/,production 4/
2,h,,,,,,,
2,u,,"-1,000",(pounds),"(1,000 pounds)","(1,000 pounds)",(cents),"(1,000 dollars)"
2,d,Alabama,7,53,371,26,353,1310
2,d,Arizona,26,39,1014,193,192,1947
2,d,Arkansas,21,65,1365,137,204,2785
2,d,California,320,39,12480,2995,206,25709
2,d,Colorado,27,37,999,200,211,2108
2,d,Florida,245,60,14700,1029,208,30576
2,d,Georgia,73,62,4526,362,219,9912
2,d,Hawaii,15,93,1395,140,229,3195
2,d,Idaho,100,34,3400,850,203,6902
2,d,Illinois,8,49,392,94,411,1611
2,d,,,,,,,
2,d,Indiana,5,62,310,115,319,989
2,d,Iowa,35,43,1505,933,241,3627
2,d,Kansas,7,75,525,84,238,1250
2,d,Kentucky,5,47,235,56,396,931
2,d,Louisiana,48,84,4032,524,218,8790
2,d,Maine,8,47,376,41,499,1876
2,d,Michigan,91,63,5733,1835,249,14275
2,d,Minnesota,132,60,7920,1426,206,16315
2,d,Mississippi,20,112,2240,45,201,4502
2,d,Missouri,12,47,564,96,363,2047
2,d,,,,,,,
2,d,Montana,162,88,14256,5132,209,29795
2,d,Nebraska,50,75,3750,1688,204,7650
2,d,New Jersey,12,30,360,119,313,1127
2,d,New York,60,55,3300,1518,283,9339
2,d,North Carolina,12,43,516,88,349,1801
2,d,North Dakota,490,86,42140,9271,199,83859
2,d,Ohio,15,61,915,256,358,3276
2,d,Oregon,71,40,2840,767,220,6248
2,d,Pennsylvania,17,46,782,203,291,2276
2,d,South Carolina,9,54,486,19,397,1929
2,d,,,,,,,
2,d,South Dakota,280,87,24360,5846,208,50669
2,d,Tennessee,7,63,441,88,376,1658
2,d,Texas,116,78,9048,2081,224,20268
2,d,Utah,29,28,812,130,213,1730
2,d,Vermont,3,58,174,61,489,851
2,d,Virginia,6,41,246,57,468,1151
2,d,Washington,68,44,2992,1167,261,7809
2,d,West Virginia,6,31,186,33,407,757
2,d,Wisconsin,53,54,2862,1030,238,6812
2,d,Wyoming,38,61,2318,255,208,4821
