2,"t","Honey: Released March 18, 2013, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
2,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2011"
2,"t","[Producers with 5 or more colonies. Colonies which produced honey in more than one State were counted in each State]"
2,"h","","","","","","",""
2,"h","","Honey","Yield","","","Average","Value"
2,"h","State","producing","per","Production","Stocks","price per","of"
2,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
2,"h","","","","","","",""
2,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
2,"d","Alabama",9,50,450,63,251,1130
2,"d","Arizona",23,53,1219,427,155,1889
2,"d","Arkansas",22,64,1408,239,162,2281
2,"d","California",370,48,17760,3730,165,29304
2,"d","Colorado",31,55,1705,443,200,3410
2,"d","Florida",180,61,10980,988,168,18446
2,"d","Georgia",65,43,2795,196,165,4612
2,"d","Hawaii",9,74,666,246,365,2431
2,"d","Idaho",87,36,3132,1879,178,5575
2,"d","Illinois",7,50,350,98,390,1365
2,"d","",,,,,,
2,"d","Indiana",8,51,408,147,214,873
2,"d","Iowa",25,62,1550,961,196,3038
2,"d","Kansas",7,44,308,117,215,662
2,"d","Kentucky",4,39,156,12,317,495
2,"d","Louisiana",36,77,2772,471,167,4629
2,"d","Maine",4,30,120,17,198,238
2,"d","Michigan",74,64,4736,2084,181,8572
2,"d","Minnesota",120,53,6360,2099,163,10367
2,"d","Mississippi",18,115,2070,104,153,3167
2,"d","Missouri",8,43,344,76,214,736
2,"d","",,,,,,
2,"d","Montana",145,92,13340,3202,170,22678
2,"d","Nebraska",41,59,2419,653,175,4233
2,"d","New Jersey",11,41,451,135,370,1669
2,"d","New Mexico",7,56,392,153,169,662
2,"d","New York",49,56,2744,1235,196,5378
2,"d","North Carolina",14,62,868,95,283,2456
2,"d","North Dakota",460,71,32660,7512,167,54542
2,"d","Ohio",15,66,990,228,234,2317
2,"d","Oregon",60,34,2040,755,168,3427
2,"d","Pennsylvania",24,44,1056,306,255,2693
2,"d","",,,,,,
2,"d","South Dakota",250,66,16500,4290,170,28050
2,"d","Tennessee",7,44,308,68,293,902
2,"d","Texas",78,58,4524,633,178,8053
2,"d","Utah",23,39,897,170,175,1570
2,"d","Vermont",4,43,172,43,231,397
2,"d","Virginia",4,40,160,21,407,651
2,"d","Washington",71,38,2698,836,193,5207
2,"d","West Virginia",4,53,212,45,257,545
2,"d","Wisconsin",57,63,3591,1508,189,6787
2,"d","Wyoming",35,54,1890,265,172,3251
2,"d","",,,,,,
2,"d","Other States 5/ 6/",25,46,1156,211,299,3456
2,"d","",,,,,,
2,"d","United States 6/ 7/",2491,59.6,148357,36761,176.5,261850
2,"c",""
2,"f","1/  Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
2,"f","2/  Stocks held by producers."
2,"f","3/  Average price per pound based on expanded sales."
2,"f","4/  Value of production is equal to production multiplied by average price per pound."
2,"f","5/  Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, Oklahoma, Rhode Island, and South Carolina not published separately to avoid disclosing data for individual operations."
2,"f","6/  Due to rounding, total colonies multiplied by total yield may not exactly equal production."
2,"f","7/  United States value of production will not equal summation of States."
