23,"t","Honey: Released March 14, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
23,"t","Queen, Package, and Nuc Prices Paid – United States: 2016 and 2017"
23,"t","[Operations that qualify as a farm. Represents prices paid by operations, regardless of whether honey produced. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
23,"h","","","","","","",""
23,"h","United States","Queen","Queen","Package","Package","Nuc","Nuc"
23,"h","","","","","","",""
23,"h","","2016","2017","2016","2017","2016","2017"
23,"h","","","","","","",""
23,"u","","(dollars per)","(dollars per)","(dollars per)","(dollars per)","(dollars per)","(dollars per)"
23,"d","Operations with",,,,,,
23,"d","  5 or more colonies",19,14,89,76,117,107
23,"d","  Less than 5 colonies",33,34,109,117,122,138
23,"c",""
