24,"t","Honey: Released March 14, 2018, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
24,"t","Expenditures for Honey Bee Operations – United States: 2016 and 2017"
24,"t","[Operations that qualify as a farm. Represents expenditures on the total number of colonies, regardless of whether honey was harvested. For more estimates on the total number of colonies, see the "Honey Bee Colonies" report]"
24,"h","","","","",""
24,"h","","5 or more colonies","5 or more colonies","Less than 5 colonies","Less than 5 colonies"
24,"h","Expenditures","","","",""
24,"h","","2016","2017","2016","2017"
24,"h","","","","",""
24,"u","","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)","(1,000 dollars)"
24,"d","Varroa control and treatment",16042,17239,262,313
24,"d","Other colony issues 1/",6647,5919,82,121
24,"d","Feed 2/",50307,53075,482,538
24,"d","Foundation",7294,9776,320,326
24,"d","Hives/woodenware",9014,9989,706,796
24,"c",""
24,"f","1/ Includes Nosema, tracheal mites, foulbrood, paralysis, Kashmir, cloudy wing, etc."
24,"f","2/ Includes syrup, sugar water, honey, pollen patties, and other feeds."
