3,"t","Honey: Released March 30, 2012, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2011"
3,"t","[Producers with 5 or more colonies. Colonies which produced honey in more than one State were counted in each State]"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","producing","per","Production","Stocks","price per","of"
3,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
3,"h","","","","","","",""
3,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
3,"d","Alabama",9,50,450,63,250,1125
3,"d","Arizona",23,53,1219,427,150,1829
3,"d","Arkansas",22,64,1408,239,161,2267
3,"d","California",370,48,17760,3730,161,28594
3,"d","Colorado",31,55,1705,443,168,2864
3,"d","Florida",180,61,10980,988,165,18117
3,"d","Georgia",65,43,2795,196,161,4500
3,"d","Hawaii",9,74,666,246,471,3137
3,"d","Idaho",87,36,3132,1879,178,5575
3,"d","Illinois",7,50,350,98,398,1393
3,"d","",,,,,,
3,"d","Indiana",8,51,408,147,206,840
3,"d","Iowa",25,62,1550,961,195,3023
3,"d","Kansas",7,44,308,117,215,662
3,"d","Kentucky",4,39,156,12,280,437
3,"d","Louisiana",36,77,2772,471,167,4629
3,"d","Maine",4,30,120,17,191,229
3,"d","Michigan",74,64,4736,2084,176,8335
3,"d","Minnesota",120,53,6360,2099,159,10112
3,"d","Mississippi",18,115,2070,104,153,3167
3,"d","Missouri",8,43,344,76,209,719
3,"d","",,,,,,
3,"d","Montana",145,92,13340,3202,164,21878
3,"d","Nebraska",41,59,2419,653,173,4185
3,"d","New Jersey",11,41,451,135,376,1696
3,"d","New Mexico",7,56,392,153,166,651
3,"d","New York",49,56,2744,1235,193,5296
3,"d","North Carolina",14,62,868,95,282,2448
3,"d","North Dakota",460,71,32660,7512,166,54216
3,"d","Ohio",15,66,990,228,226,2237
3,"d","Oregon",60,34,2040,755,174,3550
3,"d","Pennsylvania",24,44,1056,306,242,2556
3,"d","",,,,,,
3,"d","South Dakota",250,66,16500,4290,165,27225
3,"d","Tennessee",7,44,308,68,298,918
3,"d","Texas",78,58,4524,633,177,8007
3,"d","Utah",23,39,897,170,175,1570
3,"d","Vermont",4,43,172,43,230,396
3,"d","Virginia",4,40,160,21,400,640
3,"d","Washington",71,38,2698,836,176,4748
3,"d","West Virginia",4,53,212,45,242,513
3,"d","Wisconsin",57,63,3591,1508,180,6464
3,"d","Wyoming",35,54,1890,265,176,3326
3,"d","",,,,,,
3,"d","Other States 5/ 6/",25,46,1156,211,286,3306
3,"d","",,,,,,
3,"d","United States 6/ 7/",2491,59.6,148357,36761,172.9,256509
3,"c",""
3,"f","1/  Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
3,"f","2/  Stocks held by producers."
3,"f","3/  Average price per pound based on expanded sales."
3,"f","4/  Value of production is equal to production multiplied by average price per pound."
3,"f","5/  Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, Oklahoma, Rhode Island, and South Carolina not published separately to avoid disclosing data for individual operations."
3,"f","6/  Due to rounding, total colonies multiplied by total yield may not exactly equal production."
3,"f","7/  United States value of production will not equal summation of States."
