3,"t","Honey: Released March 21, 2014, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Number of Colonies, Yield, Production, Stocks, Price, and Value – States and United States: 2013"
3,"t","[Producers with 5 or more colonies. Colonies which produced honey in more than one State were counted in each State]"
3,"h","","","","","","",""
3,"h","","Honey","Yield","","","Average","Value"
3,"h","State","producing","per","Production","Stocks","price per","of"
3,"h","","colonies 1/","colony","","December 15 2/","pound 3/","production 4/"
3,"h","","","","","","",""
3,"u","","(1,000)","(pounds)","(1,000 pounds)","(1,000 pounds)","(cents)","(1,000 dollars)"
3,"d","Alabama",7,52,364,55,281,1023
3,"d","Arizona",29,36,1044,251,189,1973
3,"d","Arkansas",22,60,1320,66,201,2653
3,"d","California",330,33,10890,2505,210,22869
3,"d","Colorado",26,43,1118,324,210,2348
3,"d","Florida",220,61,13420,1074,204,27377
3,"d","Georgia",67,50,3350,637,224,7504
3,"d","Hawaii",13,83,1079,65,198,2136
3,"d","Idaho",83,32,2656,1036,201,5339
3,"d","Illinois",7,48,336,101,415,1394
3,"d","",,,,,,
3,"d","Indiana",6,47,282,82,267,753
3,"d","Iowa",39,48,1872,1217,254,4755
3,"d","Kansas",6,46,276,39,255,704
3,"d","Kentucky",3,41,123,17,302,371
3,"d","Louisiana",50,98,4900,490,183,8967
3,"d","Maine",7,43,301,27,303,912
3,"d","Michigan",85,55,4675,982,213,9958
3,"d","Minnesota",130,58,7540,1282,197,14854
3,"d","Mississippi",17,116,1972,39,185,3648
3,"d","Missouri",10,47,470,85,253,1189
3,"d","",,,,,,
3,"d","Montana",159,94,14946,5231,208,31088
3,"d","Nebraska",46,60,2760,1628,206,5686
3,"d","New Jersey",11,44,484,34,389,1883
3,"d","New York",55,48,2640,1030,199,5254
3,"d","North Carolina",10,38,380,84,363,1379
3,"d","North Dakota",480,69,33120,6955,204,67565
3,"d","Ohio",17,45,765,390,321,2456
3,"d","Oregon",62,35,2170,456,229,4969
3,"d","Pennsylvania",13,45,585,257,298,1743
3,"d","South Dakota",265,56,14840,6381,206,30570
3,"d","",,,,,,
3,"d","Tennessee",7,45,315,63,358,1128
3,"d","Texas",106,59,6254,1689,212,13258
3,"d","Utah",30,34,1020,92,207,2111
3,"d","Vermont",3,51,153,46,331,506
3,"d","Virginia",5,35,175,42,423,740
3,"d","Washington",69,39,2691,1023,221,5947
3,"d","West Virginia",6,46,276,83,356,983
3,"d","Wisconsin",59,60,3540,1558,231,8177
3,"d","Wyoming",47,66,3102,558,211,6545
3,"d","",,,,,,
3,"d","Other States 5/ 6/",33,39,1295,186,417,5400
3,"d","",,,,,,
3,"d","United States 6/ 7/",2640,56.6,149499,38160,212.1,317087
3,"c",""
3,"f","1/ Honey producing colonies are the maximum number of colonies from which honey was taken during the year. It is possible to take honey from colonies which did not survive the entire year."
3,"f","2/ Stocks held by producers."
3,"f","3/ Average price per pound based on expanded sales."
3,"f","4/ Value of production is equal to production multiplied by average price per pound."
3,"f","5/ Alaska, Connecticut, Delaware, Maryland, Massachusetts, Nevada, New Hampshire, New Mexico, Oklahoma, Rhode Island, and South Carolina not published separately to avoid disclosing data for individual operations."
3,"f","6/ Due to rounding, total colonies multiplied by total yield may not exactly equal production."
3,"f","7/ United States value of production will not equal summation of States."
